/home/zaher/projects/samar/samar/models/samar_transformer.py:43: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  desc_vocab_size = len(DescriptionVocab())
/home/zaher/projects/samar/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:143: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.encoder = TransformerEncoder(
[model] Total parameters: 5,338,598
[trainer] Resuming from checkpoint: checkpoints/samar_transformer_midi_v2.pt
[SamarLatentDataset] Filtered 4 samples shorter than 16 tokens (13252 -> 13248 samples)
[trainer] Split 13248 samples into 11924 train / 1324 val
[trainer] Resuming from epoch 15, best_val=1.3455
[trainer] Restored optimizer state from resume
[trainer] Restored scheduler state from resume (last_epoch=11190)
/home/zaher/projects/samar/samar/tokenizer.py:65: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  self.vocab = vocab or DescriptionVocab()
  [epoch 16 batch 10] loss=1.4288
  [epoch 16 batch 20] loss=1.3791
  [epoch 16 batch 30] loss=1.4053
  [epoch 16 batch 40] loss=1.4186
  [epoch 16 batch 50] loss=1.3867
  [epoch 16 batch 60] loss=1.3729
  [epoch 16 batch 70] loss=1.2872
  [epoch 16 batch 80] loss=1.3358
  [epoch 16 batch 90] loss=1.3970
  [epoch 16 batch 100] loss=1.2762
  [epoch 16 batch 110] loss=1.2427
  [epoch 16 batch 120] loss=1.4579
  [epoch 16 batch 130] loss=1.4471
  [epoch 16 batch 140] loss=1.3978
  [epoch 16 batch 150] loss=1.3509
  [epoch 16 batch 160] loss=1.3579
  [epoch 16 batch 170] loss=1.3556
  [epoch 16 batch 180] loss=1.3855
  [epoch 16 batch 190] loss=1.3173
  [epoch 16 batch 200] loss=1.4365
  [epoch 16 batch 210] loss=1.3998
  [epoch 16 batch 220] loss=1.3815
  [epoch 16 batch 230] loss=1.3388
  [epoch 16 batch 240] loss=1.4676
  [epoch 16 batch 250] loss=1.4011
  [epoch 16 batch 260] loss=1.3641
  [epoch 16 batch 270] loss=1.3780
  [epoch 16 batch 280] loss=1.5264
  [epoch 16 batch 290] loss=1.3257
  [epoch 16 batch 300] loss=1.3246
  [epoch 16 batch 310] loss=1.4728
  [epoch 16 batch 320] loss=1.3939
  [epoch 16 batch 330] loss=1.3230
  [epoch 16 batch 340] loss=1.2911
  [epoch 16 batch 350] loss=1.4927
  [epoch 16 batch 360] loss=1.4468
  [epoch 16 batch 370] loss=1.4855
  [epoch 16 batch 380] loss=1.4176
  [epoch 16 batch 390] loss=1.3751
  [epoch 16 batch 400] loss=1.3485
  [epoch 16 batch 410] loss=1.3662
  [epoch 16 batch 420] loss=1.4344
  [epoch 16 batch 430] loss=1.4486
  [epoch 16 batch 440] loss=1.3825
  [epoch 16 batch 450] loss=1.4841
  [epoch 16 batch 460] loss=1.3325
  [epoch 16 batch 470] loss=1.4010
  [epoch 16 batch 480] loss=1.4480
  [epoch 16 batch 490] loss=1.3049
  [epoch 16 batch 500] loss=1.3300
  [epoch 16 batch 510] loss=1.4692
  [epoch 16 batch 520] loss=1.2981
  [epoch 16 batch 530] loss=1.3451
  [epoch 16 batch 540] loss=1.3755
  [epoch 16 batch 550] loss=1.3595
  [epoch 16 batch 560] loss=1.4985
  [epoch 16 batch 570] loss=1.3670
  [epoch 16 batch 580] loss=1.4589
  [epoch 16 batch 590] loss=1.3932
  [epoch 16 batch 600] loss=1.4301
  [epoch 16 batch 610] loss=1.2767
  [epoch 16 batch 620] loss=1.2395
  [epoch 16 batch 630] loss=1.3343
  [epoch 16 batch 640] loss=1.3162
  [epoch 16 batch 650] loss=1.4460
  [epoch 16 batch 660] loss=1.3692
  [epoch 16 batch 670] loss=1.2476
  [epoch 16 batch 680] loss=1.3684
  [epoch 16 batch 690] loss=1.4464
  [epoch 16 batch 700] loss=1.4305
  [epoch 16 batch 710] loss=1.2675
  [epoch 16 batch 720] loss=1.4697
  [epoch 16 batch 730] loss=1.3480
  [epoch 16 batch 740] loss=1.3783
Epoch 16/25  train_loss=1.3889  val_loss=1.3345
[trainer] New best val_loss=1.3345
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 17 batch 10] loss=1.4480
  [epoch 17 batch 20] loss=1.3188
  [epoch 17 batch 30] loss=1.3893
  [epoch 17 batch 40] loss=1.4627
  [epoch 17 batch 50] loss=1.3555
  [epoch 17 batch 60] loss=1.3665
  [epoch 17 batch 70] loss=1.3391
  [epoch 17 batch 80] loss=1.5526
  [epoch 17 batch 90] loss=1.2898
  [epoch 17 batch 100] loss=1.4170
  [epoch 17 batch 110] loss=1.3622
  [epoch 17 batch 120] loss=1.2346
  [epoch 17 batch 130] loss=1.3841
  [epoch 17 batch 140] loss=1.4098
  [epoch 17 batch 150] loss=1.4102
  [epoch 17 batch 160] loss=1.3852
  [epoch 17 batch 170] loss=1.2519
  [epoch 17 batch 180] loss=1.2342
  [epoch 17 batch 190] loss=1.2522
  [epoch 17 batch 200] loss=1.4425
  [epoch 17 batch 210] loss=1.3947
  [epoch 17 batch 220] loss=1.4160
  [epoch 17 batch 230] loss=1.3159
  [epoch 17 batch 240] loss=1.4499
  [epoch 17 batch 250] loss=1.3280
  [epoch 17 batch 260] loss=1.3272
  [epoch 17 batch 270] loss=1.4270
  [epoch 17 batch 280] loss=1.3814
  [epoch 17 batch 290] loss=1.3972
  [epoch 17 batch 300] loss=1.4221
  [epoch 17 batch 310] loss=1.4541
  [epoch 17 batch 320] loss=1.4280
  [epoch 17 batch 330] loss=1.4087
  [epoch 17 batch 340] loss=1.2907
