/home/zaher/projects/samar/samar/models/samar_transformer.py:43: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  desc_vocab_size = len(DescriptionVocab())
/home/zaher/projects/samar/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:143: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.encoder = TransformerEncoder(
[model] Total parameters: 5,338,598
[SamarLatentDataset] Filtered 4 samples shorter than 16 tokens (13252 -> 13248 samples)
[trainer] Split 13248 samples into 11924 train / 1324 val
/home/zaher/projects/samar/samar/tokenizer.py:65: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1132), ('TimeSignature_2/2', 775, 1159), ('TimeSignature_3/2', 794, 1178), ('TimeSignature_4/2', 808, 1192), ('TimeSignature_5/2', 821, 1205)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  self.vocab = vocab or DescriptionVocab()
  [epoch 1 batch 10] loss=5.2442
  [epoch 1 batch 20] loss=4.8762
  [epoch 1 batch 30] loss=4.6741
  [epoch 1 batch 40] loss=4.3802
  [epoch 1 batch 50] loss=3.9468
  [epoch 1 batch 60] loss=3.7826
  [epoch 1 batch 70] loss=3.3915
  [epoch 1 batch 80] loss=3.2103
  [epoch 1 batch 90] loss=2.8745
  [epoch 1 batch 100] loss=3.0902
  [epoch 1 batch 110] loss=2.8227
  [epoch 1 batch 120] loss=2.7785
  [epoch 1 batch 130] loss=2.3869
  [epoch 1 batch 140] loss=2.6048
  [epoch 1 batch 150] loss=2.3802
  [epoch 1 batch 160] loss=2.3327
  [epoch 1 batch 170] loss=2.4433
  [epoch 1 batch 180] loss=2.3023
  [epoch 1 batch 190] loss=2.2874
  [epoch 1 batch 200] loss=2.2479
  [epoch 1 batch 210] loss=2.1396
  [epoch 1 batch 220] loss=2.2740
  [epoch 1 batch 230] loss=2.0226
  [epoch 1 batch 240] loss=2.2682
  [epoch 1 batch 250] loss=2.0387
  [epoch 1 batch 260] loss=2.3053
  [epoch 1 batch 270] loss=2.1302
  [epoch 1 batch 280] loss=2.0881
  [epoch 1 batch 290] loss=2.0781
  [epoch 1 batch 300] loss=2.2116
  [epoch 1 batch 310] loss=2.0036
  [epoch 1 batch 320] loss=2.1399
  [epoch 1 batch 330] loss=2.1307
  [epoch 1 batch 340] loss=2.0253
  [epoch 1 batch 350] loss=1.9317
  [epoch 1 batch 360] loss=2.0736
  [epoch 1 batch 370] loss=2.0772
  [epoch 1 batch 380] loss=1.9379
  [epoch 1 batch 390] loss=1.9942
  [epoch 1 batch 400] loss=1.9400
  [epoch 1 batch 410] loss=2.0470
  [epoch 1 batch 420] loss=1.9219
  [epoch 1 batch 430] loss=2.1388
  [epoch 1 batch 440] loss=2.0252
  [epoch 1 batch 450] loss=1.9743
  [epoch 1 batch 460] loss=1.8358
  [epoch 1 batch 470] loss=1.9052
  [epoch 1 batch 480] loss=1.9726
  [epoch 1 batch 490] loss=2.0472
  [epoch 1 batch 500] loss=1.8727
  [epoch 1 batch 510] loss=2.1047
  [epoch 1 batch 520] loss=1.9620
  [epoch 1 batch 530] loss=1.7801
  [epoch 1 batch 540] loss=1.9695
  [epoch 1 batch 550] loss=1.9228
  [epoch 1 batch 560] loss=1.8337
  [epoch 1 batch 570] loss=1.7803
  [epoch 1 batch 580] loss=1.9449
  [epoch 1 batch 590] loss=2.0295
  [epoch 1 batch 600] loss=2.0648
  [epoch 1 batch 610] loss=1.8092
  [epoch 1 batch 620] loss=1.8734
  [epoch 1 batch 630] loss=1.7615
  [epoch 1 batch 640] loss=1.8968
  [epoch 1 batch 650] loss=1.7439
  [epoch 1 batch 660] loss=1.9230
  [epoch 1 batch 670] loss=1.8359
  [epoch 1 batch 680] loss=1.7695
  [epoch 1 batch 690] loss=1.9921
  [epoch 1 batch 700] loss=1.8715
  [epoch 1 batch 710] loss=1.7122
  [epoch 1 batch 720] loss=1.8820
  [epoch 1 batch 730] loss=1.7511
  [epoch 1 batch 740] loss=1.8452
Epoch 1/5  train_loss=2.3198  val_loss=1.7807
[trainer] New best val_loss=1.7807
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 2 batch 10] loss=1.8598
  [epoch 2 batch 20] loss=1.6642
  [epoch 2 batch 30] loss=1.7764
  [epoch 2 batch 40] loss=1.8489
  [epoch 2 batch 50] loss=1.7492
  [epoch 2 batch 60] loss=1.7708
  [epoch 2 batch 70] loss=1.7940
  [epoch 2 batch 80] loss=1.7096
  [epoch 2 batch 90] loss=1.8956
  [epoch 2 batch 100] loss=1.8709
  [epoch 2 batch 110] loss=1.5999
  [epoch 2 batch 120] loss=1.7307
  [epoch 2 batch 130] loss=1.7493
  [epoch 2 batch 140] loss=1.8488
  [epoch 2 batch 150] loss=1.7179
  [epoch 2 batch 160] loss=1.7183
  [epoch 2 batch 170] loss=1.7354
  [epoch 2 batch 180] loss=1.8631
  [epoch 2 batch 190] loss=1.7343
  [epoch 2 batch 200] loss=1.6667
  [epoch 2 batch 210] loss=1.7919
  [epoch 2 batch 220] loss=1.7137
  [epoch 2 batch 230] loss=1.7726
  [epoch 2 batch 240] loss=1.7192
  [epoch 2 batch 250] loss=1.7239
  [epoch 2 batch 260] loss=1.7624
  [epoch 2 batch 270] loss=1.6380
  [epoch 2 batch 280] loss=1.6936
  [epoch 2 batch 290] loss=1.8582
  [epoch 2 batch 300] loss=1.7750
  [epoch 2 batch 310] loss=1.6467
  [epoch 2 batch 320] loss=1.7283
  [epoch 2 batch 330] loss=1.7555
  [epoch 2 batch 340] loss=1.8231
  [epoch 2 batch 350] loss=1.6251
  [epoch 2 batch 360] loss=1.7225
  [epoch 2 batch 370] loss=1.7031
  [epoch 2 batch 380] loss=1.8506
  [epoch 2 batch 390] loss=1.8617
  [epoch 2 batch 400] loss=1.8964
  [epoch 2 batch 410] loss=1.6322
  [epoch 2 batch 420] loss=1.7685
  [epoch 2 batch 430] loss=1.7959
  [epoch 2 batch 440] loss=1.6694
  [epoch 2 batch 450] loss=1.7951
  [epoch 2 batch 460] loss=1.8603
  [epoch 2 batch 470] loss=1.7150
  [epoch 2 batch 480] loss=1.7163
  [epoch 2 batch 490] loss=1.7135
  [epoch 2 batch 500] loss=1.8755
  [epoch 2 batch 510] loss=1.7633
  [epoch 2 batch 520] loss=1.7059
  [epoch 2 batch 530] loss=1.8182
  [epoch 2 batch 540] loss=1.8172
  [epoch 2 batch 550] loss=1.7151
  [epoch 2 batch 560] loss=1.8356
  [epoch 2 batch 570] loss=1.7893
  [epoch 2 batch 580] loss=1.8853
  [epoch 2 batch 590] loss=1.6685
  [epoch 2 batch 600] loss=1.5992
  [epoch 2 batch 610] loss=1.6359
  [epoch 2 batch 620] loss=1.7372
  [epoch 2 batch 630] loss=1.8567
  [epoch 2 batch 640] loss=1.6484
  [epoch 2 batch 650] loss=1.7697
  [epoch 2 batch 660] loss=1.6088
  [epoch 2 batch 670] loss=1.6124
  [epoch 2 batch 680] loss=1.8881
  [epoch 2 batch 690] loss=1.7691
  [epoch 2 batch 700] loss=1.7848
  [epoch 2 batch 710] loss=1.5970
  [epoch 2 batch 720] loss=1.7164
  [epoch 2 batch 730] loss=1.8268
  [epoch 2 batch 740] loss=1.6983
Epoch 2/5  train_loss=1.7590  val_loss=1.6836
[trainer] New best val_loss=1.6836
[trainer] Saved weights -> checkpoints/samar_transformer_midi_v2.pt
[trainer] Saved config  -> checkpoints/samar_transformer_midi_v2_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_midi_v2_best.pt
  [epoch 3 batch 10] loss=1.7296
  [epoch 3 batch 20] loss=1.8428
  [epoch 3 batch 30] loss=1.7403
  [epoch 3 batch 40] loss=1.5762
  [epoch 3 batch 50] loss=1.5791
  [epoch 3 batch 60] loss=1.7097
