/home/zaher/projects/samar/samar/models/samar_transformer.py:43: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1138), ('TimeSignature_2/2', 775, 1165), ('TimeSignature_3/2', 794, 1184), ('TimeSignature_4/2', 808, 1198), ('TimeSignature_5/2', 821, 1211)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  desc_vocab_size = len(DescriptionVocab())
/home/zaher/projects/samar/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:143: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.encoder = TransformerEncoder(
[model] Total parameters: 5,344,241
[trainer] Split 3000 samples into 2700 train / 300 val
/home/zaher/projects/samar/samar/tokenizer.py:65: UserWarning: [DescriptionVocab] 107 overlapping strings have different IDs in SamarVocab vs DescriptionVocab (e.g. [('TimeSignature_1/2', 748, 1138), ('TimeSignature_2/2', 775, 1165), ('TimeSignature_3/2', 794, 1184), ('TimeSignature_4/2', 808, 1198), ('TimeSignature_5/2', 821, 1211)]). Cross-tokenizer use will mis-encode. This is by-design per FIGARO two-stream split, but be careful: always use SamarTokenizer for events and DescriptionTokenizer for descriptions.
  self.vocab = vocab or DescriptionVocab()
  [epoch 1 batch 10] loss=5.1592
  [epoch 1 batch 20] loss=4.6799
  [epoch 1 batch 30] loss=4.3297
  [epoch 1 batch 40] loss=3.9057
  [epoch 1 batch 50] loss=3.3712
  [epoch 1 batch 60] loss=3.0511
  [epoch 1 batch 70] loss=2.7182
  [epoch 1 batch 80] loss=2.5488
  [epoch 1 batch 90] loss=2.5320
  [epoch 1 batch 100] loss=2.3928
  [epoch 1 batch 110] loss=2.2950
  [epoch 1 batch 120] loss=2.2397
  [epoch 1 batch 130] loss=2.1707
  [epoch 1 batch 140] loss=2.2495
  [epoch 1 batch 150] loss=2.1543
  [epoch 1 batch 160] loss=2.0798
Epoch 1/5  train_loss=3.0729  val_loss=2.0026
[trainer] New best val_loss=2.0026
[trainer] Saved weights -> checkpoints/samar_transformer_r21_3k.pt
[trainer] Saved config  -> checkpoints/samar_transformer_r21_3k_config.json
[trainer] Saved best   -> checkpoints/samar_transformer_r21_3k_best.pt
  [epoch 2 batch 10] loss=2.0665
  [epoch 2 batch 20] loss=2.0158
  [epoch 2 batch 30] loss=1.9776
  [epoch 2 batch 40] loss=1.8745
  [epoch 2 batch 50] loss=1.9724
  [epoch 2 batch 60] loss=1.9965
  [epoch 2 batch 70] loss=1.9493
  [epoch 2 batch 80] loss=1.8680
  [epoch 2 batch 90] loss=1.8559
  [epoch 2 batch 100] loss=1.9864
  [epoch 2 batch 110] loss=1.9495
